epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,2.430532217025757,4.750551571980144e-05,1.6794,1813,,,,,,,,,,,,,
1.0,,,,1813,1.4428277015686035,0.04105349894860142,0.0,0.04105166813416308,0.04105269281057136,35.2211,28.79,1.817,,,,,
2.0,2.2588658332824707,4.500551571980144e-05,1.326,3626,,,,,,,,,,,,,
2.0,,,,3626,1.3856829404830933,0.2531248618669477,0.1667695929321842,0.24695929336091282,0.24721568101820227,34.636,29.276,1.848,,,,,
3.0,2.3001012802124023,4.250551571980144e-05,1.1735,5439,,,,,,,,,,,,,
3.0,,,,5439,1.38837468624115,0.44718087680467666,0.3233042346614179,0.4356510831253463,0.4358285306088375,34.7434,29.185,1.842,,,,,
4.0,3.002436399459839,4.000551571980143e-05,1.0535,7252,,,,,,,,,,,,,
4.0,,,,7252,1.419283151626587,0.5124064840032378,0.378998163490053,0.5008204724543894,0.5008785256201111,34.268,29.59,1.868,,,,,
5.0,2.7740607261657715,3.750551571980144e-05,0.9517,9065,,,,,,,,,,,,,
5.0,,,,9065,1.461064100265503,0.4984338371368203,0.36571387689886947,0.4868747044877768,0.48688888934964847,34.3271,29.539,1.864,,,,,
6.0,2.7194743156433105,3.5008273579702154e-05,0.8538,10878,,,,,,,,,,,,,
6.0,,,,10878,1.5231605768203735,0.5110655102646949,0.3757202089230175,0.4993670157478052,0.4992795174699732,34.3163,29.549,1.865,,,,,
7.0,2.9647974967956543,3.2508273579702154e-05,0.7675,12691,,,,,,,,,,,,,
7.0,,,,12691,1.559941053390503,0.44158541878014734,0.3160236986078545,0.43077453672237664,0.431033503128203,34.3759,29.497,1.862,,,,,
8.0,2.901898145675659,3.0009652509652515e-05,0.6877,14504,,,,,,,,,,,,,
8.0,,,,14504,1.6190316677093506,0.47023710287558274,0.3435747718710581,0.4598878432603652,0.45989339618908565,34.6389,29.273,1.848,,,,,
9.0,3.093945026397705,2.7512410369553226e-05,0.6156,16317,,,,,,,,,,,,,
9.0,,,,16317,1.7126166820526123,0.5041230882654888,0.3680680737497596,0.4927203343298935,0.4926178442124084,33.3949,30.364,1.916,,,,,
10.0,3.096306800842285,2.501241036955323e-05,0.5509,18130,,,,,,,,,,,,,
10.0,,,,18130,1.7544783353805542,0.4862078148960701,0.34889534881324935,0.4739483445200463,0.4739629055799087,33.0509,30.68,1.936,,,,,
11.0,3.2391483783721924,2.2513789299503587e-05,0.4923,19943,,,,,,,,,,,,,
11.0,,,,19943,1.8388354778289795,0.4853446743186469,0.3419722155774958,0.47205993084787473,0.4722044721412543,33.6423,30.141,1.902,,,,,
12.0,2.6173176765441895,2.0013789299503584e-05,0.441,21756,,,,,,,,,,,,,
12.0,,,,21756,1.8139454126358032,0.2957139939898286,0.19896594873027973,0.2887407871703831,0.28859462834186894,33.1003,30.634,1.934,,,,,
13.0,2.736994743347168,1.7515168229453945e-05,0.3968,23569,,,,,,,,,,,,,
13.0,,,,23569,1.904144287109375,0.49597158155957766,0.3607770539116658,0.48457233958827584,0.48474120155103845,33.0159,30.713,1.938,,,,,
14.0,2.8031985759735107,1.5015168229453943e-05,0.3579,25382,,,,,,,,,,,,,
14.0,,,,25382,1.9484635591506958,0.495443083791583,0.3636333002261211,0.4849228804293416,0.4849527852292844,33.2786,30.47,1.923,,,,,
15.0,2.643488645553589,1.2515168229453943e-05,0.3246,27195,,,,,,,,,,,,,
15.0,,,,27195,1.9724839925765991,0.4631144114513259,0.3404614478481802,0.4538335932110361,0.4540467060031894,33.456,30.308,1.913,,,,,
16.0,2.619149923324585,1.0015168229453944e-05,0.2972,29008,,,,,,,,,,,,,
16.0,,,,29008,2.010796546936035,0.448449777438937,0.3256596969592256,0.4387203796715946,0.43898377366239527,33.4967,30.272,1.911,,,,,
17.0,2.6853673458099365,7.515168229453944e-06,0.2748,30821,,,,,,,,,,,,,
17.0,,,,30821,2.120210647583008,0.5069524249495307,0.3713735815139594,0.4959094732286157,0.49593469735176465,32.9943,30.733,1.94,,,,,
18.0,2.5861258506774902,5.016547159404302e-06,0.258,32634,,,,,,,,,,,,,
18.0,,,,32634,2.0886080265045166,0.4772344944151464,0.34027520091874536,0.4653644667174761,0.46539803362822435,33.157,30.582,1.93,,,,,
19.0,2.4596056938171387,2.517926089354661e-06,0.2476,34447,,,,,,,,,,,,,
19.0,,,,34447,2.1198134422302246,0.48173719766105866,0.34069478189530755,0.46949858432612934,0.46947473238549764,33.048,30.683,1.937,,,,,
20.0,2.7634124755859375,1.9305019305019306e-08,0.2504,36260,,,,,,,,,,,,,
20.0,,,,36260,2.1240196228027344,0.4720671293432086,0.33035535982758946,0.45975002688572775,0.4598642980614366,32.7927,30.922,1.952,,,,,
20.0,,,,36260,,,,,,,,,7670.4134,75.615,4.727,5.2497421439016934e+20,0.22535624012260627
