loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8783,1.7900031805038452,4.750137892995036e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.5432547330856323,0.49823760031852105,0.35666956735448807,0.4857592980555336,0.48578175501856136,29.7466,34.088,2.152,,,,,
1.4256,2.3983678817749023,4.5001378929950363e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.422286033630371,0.49963496070596075,0.3563193034179665,0.4871091383989419,0.48729109312938235,29.2906,34.619,2.185,,,,,
1.2666,1.792352557182312,4.250137892995036e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.387766718864441,0.49573594459357445,0.35080603614285005,0.4825882345046407,0.48283876211379306,28.4905,35.591,2.246,,,,,
1.155,1.8110134601593018,4.000275785990072e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.3693825006484985,0.5037329318431913,0.3634610267276963,0.4920601145444713,0.49200192482214394,29.0312,34.928,2.205,,,,,
1.0644,1.9125925302505493,3.750275785990072e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.3722597360610962,0.5038530067891336,0.36107656236690167,0.49105233518691516,0.4910759222750421,27.738,36.556,2.307,,,,,
0.9814,2.2162740230560303,3.500275785990072e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.3881545066833496,0.49929028800713526,0.3572713356317402,0.4863675073751411,0.48632976416137397,29.2711,34.642,2.186,,,,,
0.9053,2.3916573524475098,3.250413678985107e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.4086792469024658,0.4906319752890509,0.35009758920403855,0.47870889797360405,0.4787345205929294,29.4348,34.449,2.174,,,,,
0.835,2.2456393241882324,3.0005515719801436e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.4403605461120605,0.49923872703793604,0.3629033774059022,0.4878451747104017,0.48786178967213484,28.8876,35.102,2.215,,,,,
0.7693,2.2681291103363037,2.7506894649751797e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.4715328216552734,0.49243209951287126,0.3537431187469592,0.4805612305368282,0.48061973689649506,28.8635,35.131,2.217,,,,,
0.7079,2.25417160987854,2.500827357970215e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.5107898712158203,0.47544399043815677,0.33205355435456424,0.46241379650616093,0.4625893901931876,29.0506,34.905,2.203,,,,,
0.6525,2.3599202632904053,2.250965250965251e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.55521559715271,0.46961282874943633,0.3219507387572432,0.4558936290748883,0.45603388486648405,28.9183,35.064,2.213,,,,,
0.6016,2.4999518394470215,2.000965250965251e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.5992101430892944,0.46906474572622386,0.32334882959040057,0.45601052468147035,0.45610767873085656,29.8633,33.955,2.143,,,,,
0.5548,2.5383150577545166,1.7511031439602866e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.635413646697998,0.4802327531742494,0.33812698923665585,0.46781842246661676,0.46798883188789564,29.3884,34.503,2.178,,,,,
0.5125,2.5413575172424316,1.5013789299503586e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.678208827972412,0.480153578112157,0.34010659891949746,0.46803954910614554,0.46813120646784623,28.5992,35.456,2.238,,,,,
0.4742,2.589888572692871,1.2513789299503586e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.7133970260620117,0.48650836963264876,0.34940165495559294,0.4752706593394339,0.47534771706798706,29.4543,34.426,2.173,,,,,
0.4416,2.454922676086426,1.0013789299503585e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.7541630268096924,0.49038880207991875,0.35410094197317965,0.47920167623478505,0.4792058323911205,29.3304,34.572,2.182,,,,,
0.4138,2.5388998985290527,7.516547159404303e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.7804306745529175,0.48484733121608015,0.34804377715395374,0.47407773519785756,0.4742473317601645,29.5486,34.316,2.166,,,,,
0.3925,2.403385877609253,5.017926089354661e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.8016223907470703,0.47353331412105903,0.33306924130581134,0.46197605642926154,0.46197314729864675,29.377,34.517,2.179,,,,,
0.3791,2.580981731414795,2.517926089354661e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.8129856586456299,0.47104035884652157,0.32948590753522666,0.45881004923461255,0.4589295266745792,27.8157,36.454,2.301,,,,,
0.3826,2.666175603866577,1.7926089354660785e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.8152321577072144,0.46163870878713964,0.31744486091092194,0.44849794741398974,0.4487168617149793,28.9117,35.072,2.214,,,,,
,,,20.0,36260,,,,,,,,,12745.4416,45.506,2.845,3.764383900913663e+20,0.7896914432144796
