loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8784,3.20231556892395,4.7501055743243244e-05,1.0,2368,,,,,,,,,,,,,
,,,1.0,2368,2.4582200050354004,0.4803678327673514,0.40904102272012255,0.4707168556476127,0.4706652607384999,329.1941,37.795,2.363,,,,,
2.2352,3.0938708782196045,4.500105574324325e-05,2.0,4736,,,,,,,,,,,,,
,,,2.0,4736,2.2945518493652344,0.4755236760626386,0.3991014852287762,0.4641831887122685,0.4640766024916331,330.9369,37.596,2.351,,,,,
1.9665,3.00950026512146,4.250211148648649e-05,3.0,7104,,,,,,,,,,,,,
,,,3.0,7104,2.2219960689544678,0.4733024190400714,0.3907297459504394,0.4598585531041066,0.4598104762636276,336.7321,36.949,2.31,,,,,
1.7694,2.958665132522583,4.0003167229729735e-05,4.0,9472,,,,,,,,,,,,,
,,,4.0,9472,2.202256679534912,0.47344021373895634,0.3881426195583294,0.4590303703272697,0.4588910157988411,338.2625,36.782,2.3,,,,,
1.6048,3.1125376224517822,3.750527871621622e-05,5.0,11840,,,,,,,,,,,,,
,,,5.0,11840,2.205954074859619,0.4671148558496507,0.3764827465589926,0.45042597601471895,0.4503953675111238,341.6785,36.414,2.277,,,,,
1.4575,3.2870290279388428,3.500527871621622e-05,6.0,14208,,,,,,,,,,,,,
,,,6.0,14208,2.2326157093048096,0.4602940385182895,0.3660024538224026,0.4421964484215727,0.44207106344683345,333.6999,37.285,2.331,,,,,
1.323,3.5560121536254883,3.250633445945946e-05,7.0,16576,,,,,,,,,,,,,
,,,7.0,16576,2.270735502243042,0.45386796396152707,0.3561276788360941,0.43442688146434183,0.43426337297999296,337.4016,36.876,2.306,,,,,
1.1989,3.500321388244629,3.0006334459459464e-05,8.0,18944,,,,,,,,,,,,,
,,,8.0,18944,2.331636905670166,0.4559524544646898,0.3575604122614644,0.43589365350356885,0.43585305093434623,336.1442,37.014,2.314,,,,,
1.0857,3.6457951068878174,2.750844594594595e-05,9.0,21312,,,,,,,,,,,,,
,,,9.0,21312,2.3966362476348877,0.4509397337167632,0.3514923825954068,0.43019238198053333,0.430184803904478,335.9023,37.041,2.316,,,,,
0.9829,3.8188021183013916,2.5008445945945947e-05,10.0,23680,,,,,,,,,,,,,
,,,10.0,23680,2.4650793075561523,0.44732742263471775,0.3470898350075988,0.4265332696078702,0.42651915634227333,339.7397,36.622,2.29,,,,,
0.8887,3.7519474029541016,2.2510557432432434e-05,11.0,26048,,,,,,,,,,,,,
,,,11.0,26048,2.5395405292510986,0.4376040294593444,0.3346160832331526,0.41601260358979564,0.4159173186125544,343.4091,36.231,2.266,,,,,
0.8046,3.8151540756225586,2.0010557432432434e-05,12.0,28416,,,,,,,,,,,,,
,,,12.0,28416,2.6126480102539062,0.4266611080972121,0.3209944973437024,0.4037533819747571,0.4038107558372655,336.9597,36.924,2.309,,,,,
0.7298,3.9386816024780273,1.7511613175675676e-05,13.0,30784,,,,,,,,,,,,,
,,,13.0,30784,2.678197145462036,0.4256721650093953,0.31880536820584776,0.4022978184984298,0.4021977393991273,338.6053,36.745,2.298,,,,,
0.6647,3.864555835723877,1.5011613175675676e-05,14.0,33152,,,,,,,,,,,,,
,,,14.0,33152,2.742220878601074,0.41664563129636756,0.30639794722363356,0.3915003992985075,0.39143787941186226,339.0071,36.701,2.295,,,,,
0.6075,3.6133997440338135,1.2512668918918918e-05,15.0,35520,,,,,,,,,,,,,
,,,15.0,35520,2.806478977203369,0.41212419778245213,0.30094740644857304,0.38656570525571343,0.3865366001021605,345.1952,36.043,2.254,,,,,
0.5604,3.8151330947875977,1.0012668918918918e-05,16.0,37888,,,,,,,,,,,,,
,,,16.0,37888,2.8593852519989014,0.416410295238952,0.30603657880748014,0.39092310678150405,0.39072320775567093,338.1898,36.79,2.3,,,,,
0.5212,3.440300464630127,7.512668918918919e-06,17.0,40256,,,,,,,,,,,,,
,,,17.0,40256,2.9008607864379883,0.42380436778125885,0.31412184172744967,0.3986005215897113,0.39850613640911225,339.7438,36.622,2.29,,,,,
0.4938,3.577256917953491,5.013724662162162e-06,18.0,42624,,,,,,,,,,,,,
,,,18.0,42624,2.927175760269165,0.42387368598746744,0.31399725785523347,0.3986925078381597,0.3986162652684856,343.9374,36.175,2.262,,,,,
0.48,3.229448080062866,2.516891891891892e-06,19.0,44992,,,,,,,,,,,,,
,,,19.0,44992,2.9339210987091064,0.4234806376308703,0.312777948366713,0.39804276034746044,0.3979119372837059,340.5926,36.53,2.284,,,,,
0.4947,4.039199352264404,1.6891891891891893e-08,20.0,47360,,,,,,,,,,,,,
,,,20.0,47360,2.9272093772888184,0.4225702649696376,0.31124573006957246,0.39693898157939045,0.3969132944167951,342.0501,36.375,2.275,,,,,
,,,20.0,47360,,,,,,,,,16465.6495,46.012,2.876,9.834388037966237e+19,1.1373815613823968
