loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6194,1.249570608139038,4.7502757859900724e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.4282814264297485,0.20529333389678805,0.04966090120474502,0.18447911877432513,0.1846317462481556,38.0456,26.652,1.682,,,,,
1.3455,1.3268707990646362,4.500275785990072e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.3667722940444946,0.21136523130674423,0.053564296848057996,0.18888247001028746,0.1890082944356353,36.8584,27.511,1.736,,,,,
1.2213,1.3984509706497192,4.2502757859900724e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.3495843410491943,0.21626835137313943,0.059475823532083874,0.19477100075713655,0.19483558166097853,36.585,27.716,1.749,,,,,
1.1287,1.5329890251159668,4.000275785990072e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.354529619216919,0.21560401036542823,0.06118306607755744,0.19453688160298654,0.19468566992428427,36.8078,27.548,1.739,,,,,
1.0515,2.0701467990875244,3.750275785990072e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.3716504573822021,0.2157128660519541,0.05833683662730222,0.193499482550275,0.19359495084049178,36.5145,27.77,1.753,,,,,
0.9811,1.9005227088928223,3.500413678985108e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.393668293952942,0.21372547213868917,0.05845363868585078,0.1921854274993774,0.19220164572521725,36.7776,27.571,1.74,,,,,
0.9161,2.0357418060302734,3.250413678985107e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.4255988597869873,0.21007878379599979,0.05710159522634708,0.18933066539568136,0.18938850507562327,36.6707,27.652,1.745,,,,,
0.856,1.961716651916504,3.0005515719801436e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.4586000442504883,0.2071912319220534,0.056571038633091236,0.18719077489547709,0.18719355519797193,36.5435,27.748,1.751,,,,,
0.8002,2.0963337421417236,2.7505515719801433e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.5000836849212646,0.2083328609063988,0.05615574259781997,0.18768282549893323,0.1876990628169178,36.8839,27.492,1.735,,,,,
0.748,2.521829843521118,2.5006894649751794e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.5394216775894165,0.20899291928704428,0.05720402287752381,0.18782356447705023,0.1878621547264605,36.5364,27.753,1.752,,,,,
0.6988,2.511409044265747,2.250827357970215e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.5845389366149902,0.20717106283166056,0.05655232910005059,0.1863637360346781,0.18653742364533885,36.7253,27.61,1.743,,,,,
0.6531,2.643998861312866,2.000827357970215e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.6250498294830322,0.20166954065980214,0.05390302965277676,0.18268081756867915,0.18271906339298571,36.4171,27.844,1.757,,,,,
0.6116,2.4208474159240723,1.7508273579702152e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.6666622161865234,0.1985127298631666,0.05296999455514209,0.18039320440695716,0.18043719606360925,36.5049,27.777,1.753,,,,,
0.5738,2.5347323417663574,1.5011031439602868e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.7055237293243408,0.19866742982581526,0.05213889634005313,0.1792777902816364,0.17927238499618184,36.6945,27.634,1.744,,,,,
0.5398,2.5513722896575928,1.2511031439602868e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.745408535003662,0.19693020546308826,0.0524067713880456,0.1783117371643152,0.17832797362115363,40.5368,25.014,1.579,,,,,
0.5095,2.644636869430542,1.0012410369553228e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.7823026180267334,0.19431369113079128,0.05091817411710674,0.17582248563249295,0.1758333366093084,36.4728,27.802,1.755,,,,,
0.484,2.736842393875122,7.513789299503586e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.8098254203796387,0.193322128572326,0.049548594662037065,0.1748687842740535,0.17483479278474046,36.5798,27.72,1.75,,,,,
0.4644,2.294924259185791,5.013789299503585e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.8305811882019043,0.19284331183347853,0.04826772990008622,0.17331046989826165,0.17337795402013723,36.7525,27.59,1.741,,,,,
0.4535,2.5963993072509766,2.515168229453944e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.84189772605896,0.19248104192240698,0.04919830974399034,0.1726842167301953,0.17270163821510048,36.5411,27.75,1.751,,,,,
0.4589,3.0766496658325195,1.6547159404302263e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.8398467302322388,0.19448097913042256,0.05024746759289567,0.17460340890904202,0.17463560702115422,37.0265,27.386,1.728,,,,,
,,,20.0,36260,,,,,,,,,13052.1433,44.437,2.778,5.233452842483712e+20,0.8057650852781991
