loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6368,2.76957368850708,4.750551571980144e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.3951181173324585,0.061557666433059585,0.01613286516960977,0.060963690808590265,0.060836488553603484,34.7998,29.138,1.839,,,,,
1.2806,2.549564838409424,4.500551571980144e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.3299702405929565,0.17034399000348388,0.10561586182110216,0.167600768359036,0.1678325768292913,34.6411,29.272,1.848,,,,,
1.1461,2.785159111022949,4.250551571980144e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.3155690431594849,0.30264652238218637,0.21371265261296335,0.29652048910492046,0.29660014940082086,35.0837,28.902,1.824,,,,,
1.0409,2.5829179286956787,4.000551571980143e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.334630012512207,0.46584801360547,0.34591894705811566,0.45609197850302247,0.4562329180198905,34.3034,29.56,1.866,,,,,
0.9496,2.9046902656555176,3.750689464975179e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.376528263092041,0.5282170169306029,0.398512972133252,0.5184769764947847,0.5184876615462382,34.2323,29.621,1.87,,,,,
0.8694,2.7978053092956543,3.5008273579702154e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.4200313091278076,0.5306711494463152,0.3966925560461483,0.5197527414546423,0.5199328975075075,34.6974,29.224,1.845,,,,,
0.7957,2.84100079536438,3.250965250965251e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.473475694656372,0.5339856552807196,0.39896826116286,0.5226482913112207,0.5228120900766204,34.5369,29.36,1.853,,,,,
0.7291,2.824190139770508,3.0009652509652515e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.5332117080688477,0.5380744446138199,0.4026943564015214,0.5263575055146539,0.526434830790637,34.645,29.268,1.847,,,,,
0.6671,2.9458186626434326,2.750965250965251e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.6029791831970215,0.5277985755002526,0.39110108838212043,0.5166728773948701,0.5168549156987312,34.5245,29.37,1.854,,,,,
0.6109,3.066014528274536,2.500965250965251e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.6274466514587402,0.5222702180244784,0.3832397089916447,0.5102132860066151,0.5101296402405043,34.7266,29.199,1.843,,,,,
0.5618,2.9746603965759277,2.251103143960287e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.6939115524291992,0.520202033067086,0.38048720505723743,0.5076587006913884,0.5076406961719073,35.787,28.334,1.788,,,,,
0.5168,2.94551157951355,2.001103143960287e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.6918435096740723,0.5155232906532398,0.374928725679698,0.5024524961062382,0.5025862691241808,34.1651,29.679,1.873,,,,,
0.4776,2.8237478733062744,1.7512410369553227e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.7667505741119385,0.5229508103720777,0.38384239682767707,0.5104896178246915,0.5103939110315967,34.9414,29.02,1.832,,,,,
0.4427,3.206573486328125,1.5012410369553229e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.788924217224121,0.518922417765648,0.3809091490835008,0.5066854808749373,0.5068548414249825,34.3288,29.538,1.864,,,,,
0.4126,2.7699475288391113,1.2513789299503586e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.8258939981460571,0.5176662482735737,0.3784180288018689,0.5050614225380723,0.5051424897930957,34.5006,29.391,1.855,,,,,
0.3871,2.6881988048553467,1.0015168229453944e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.8539221286773682,0.5275159872359422,0.3927700739827992,0.5161809372762579,0.516308294116373,34.7977,29.14,1.839,,,,,
0.3665,2.295670509338379,7.515168229453944e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.8580873012542725,0.5263810224383692,0.39014646006509296,0.5147934174773936,0.5148913188207517,34.5421,29.355,1.853,,,,,
0.3498,2.4274821281433105,5.016547159404302e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.8753068447113037,0.5178279262449154,0.3805583329468474,0.5058865870161691,0.5058146768373183,35.0862,28.9,1.824,,,,,
0.3386,2.4830124378204346,2.517926089354661e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.8697106838226318,0.5150499412921401,0.37804658766986077,0.5033071033147073,0.503518693305874,34.9875,28.982,1.829,,,,,
0.334,2.862074375152588,1.9305019305019306e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.8780816793441772,0.5036314085772557,0.3621122495459217,0.4907492244668071,0.4908790564720752,34.6419,29.271,1.847,,,,,
,,,20.0,36260,,,,,,,,,15159.5454,38.26,2.392,5.2796316796231654e+20,0.6956885765483876
