loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8431,2.0304362773895264,4.750137892995036e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.4897509813308716,0.5150460679666222,0.37384825171141,0.5030583491832414,0.5030046863357991,32.5279,31.173,1.968,,,,,
1.3799,1.993918776512146,4.5001378929950363e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.3654804229736328,0.5164565207152507,0.37769002087826775,0.5049327842281792,0.5047934539777792,30.3684,33.39,2.107,,,,,
1.2293,2.13079571723938,4.2502757859900724e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.3163797855377197,0.5168341078115067,0.376447595986541,0.5047599544327199,0.5048091544488712,30.5728,33.167,2.093,,,,,
1.1253,2.271204948425293,4.000413678985108e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.297785997390747,0.5168935753526567,0.3765828715692663,0.504916185237938,0.5049264606794954,31.2022,32.498,2.051,,,,,
1.0414,2.0560619831085205,3.750551571980144e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.2942910194396973,0.5174220423358441,0.37760668077142023,0.5056212567054332,0.505604333775415,30.7977,32.925,2.078,,,,,
0.9698,2.078857183456421,3.500689464975179e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.2978254556655884,0.5177923065738488,0.37712803707766707,0.5049553784876948,0.5049102661078697,30.4934,33.253,2.099,,,,,
0.9052,2.2132229804992676,3.250689464975179e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.3109244108200073,0.5072641676243379,0.36518187934376156,0.4948335042148335,0.4946739613438898,30.2874,33.479,2.113,,,,,
0.8469,2.2931065559387207,3.000827357970215e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.3308461904525757,0.5127055984057456,0.3731555558149831,0.5002704035303502,0.5004430077973042,30.7697,32.955,2.08,,,,,
0.7925,2.40510892868042,2.7508273579702154e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.3519446849822998,0.5085825523664795,0.36803961955746867,0.49636989213949323,0.49621166451945536,30.9012,32.814,2.071,,,,,
0.7424,2.321566104888916,2.500965250965251e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.3691990375518799,0.5005567324982848,0.3583549367235097,0.4877928943526869,0.4877444995632143,30.8946,32.821,2.072,,,,,
0.6966,4.810789108276367,2.250965250965251e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.3940125703811646,0.5032400935826387,0.3603748879918655,0.4895346846880847,0.48960178910269014,31.2458,32.452,2.048,,,,,
0.6548,2.413078546524048,2.001103143960287e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.419047236442566,0.5075188013853968,0.36556784310440976,0.49428759028407926,0.49437175291739377,30.6234,33.112,2.09,,,,,
0.6168,2.3405697345733643,1.7511031439602866e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.4448392391204834,0.5032530584083232,0.360986095881351,0.4903154476259598,0.49032316649614305,30.551,33.19,2.095,,,,,
0.583,2.565709114074707,1.5012410369553229e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.4676203727722168,0.5056371771027826,0.3654976532123825,0.493442173511252,0.49323072527505596,30.3268,33.436,2.11,,,,,
0.553,2.7206947803497314,1.2513789299503586e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.4900929927825928,0.5104897828908401,0.37237747798006726,0.4983537326390773,0.498310782716346,30.3295,33.433,2.11,,,,,
0.5271,2.982677459716797,1.0013789299503585e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.5094202756881714,0.5075075319192359,0.36873307338946515,0.4953247451018711,0.4953566990425913,31.1053,32.599,2.058,,,,,
0.5051,2.479229688644409,7.513789299503586e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.5240180492401123,0.5054226096457377,0.36712310428893913,0.49339944323799045,0.493222318971512,30.7962,32.926,2.078,,,,,
0.4881,2.362966299057007,5.015168229453944e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.5347177982330322,0.505152223635777,0.36660980880042127,0.4934176679165263,0.49332008022610485,30.8018,32.92,2.078,,,,,
0.4751,2.7716007232666016,2.5165471594043024e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.5403895378112793,0.4961296333365931,0.3555938693175385,0.4836921907131052,0.4837368931345524,30.11,33.676,2.126,,,,,
0.4696,2.85192608833313,1.6547159404302263e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.5441958904266357,0.4882815173071371,0.3429740511639914,0.4740752893869704,0.47409867162668407,30.7971,32.925,2.078,,,,,
,,,20.0,36260,,,,,,,,,14589.878,39.754,2.485,3.794273436635135e+20,0.8222418741435552
