epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,3.29384708404541,4.7501055743243244e-05,2.9098,2368,,,,,,,,,,,,,
1.0,,,,2368,2.49847149848938,0.4725803739783473,0.40877874701687705,0.46727902739194827,0.467300518661715,358.2108,34.734,2.172,,,,,
2.0,2.9639227390289307,4.5002111486486486e-05,2.2939,4736,,,,,,,,,,,,,
2.0,,,,4736,2.347644090652466,0.46689250852751474,0.41168759527856746,0.4638696715527362,0.4638642860195289,367.017,33.9,2.12,,,,,
3.0,3.0462605953216553,4.2503167229729734e-05,2.0577,7104,,,,,,,,,,,,,
3.0,,,,7104,2.275230646133423,0.4655326780804266,0.41095632803919774,0.46276760298959985,0.46279089387021294,373.9321,33.273,2.081,,,,,
4.0,3.0005722045898438,4.0004222972972976e-05,1.8986,9472,,,,,,,,,,,,,
4.0,,,,9472,2.239192485809326,0.4720094872420647,0.4123907871680626,0.4669135128704329,0.46688893597854564,372.4185,33.409,2.089,,,,,
5.0,3.1593337059020996,3.7504222972972976e-05,1.7698,11840,,,,,,,,,,,,,
5.0,,,,11840,2.2114200592041016,0.4753782485531208,0.3984087364301755,0.46341047341918135,0.4633975276249848,367.8089,33.827,2.115,,,,,
6.0,3.1753194332122803,3.500633445945946e-05,1.6598,14208,,,,,,,,,,,,,
6.0,,,,14208,2.1983354091644287,0.470881342905657,0.39272977236106277,0.45856294285551974,0.4585038886351285,367.6415,33.843,2.116,,,,,
7.0,3.237903356552124,3.250633445945946e-05,1.5618,16576,,,,,,,,,,,,,
7.0,,,,16576,2.1901190280914307,0.4664045886960919,0.3807855198108818,0.4513368678549444,0.45135132531837485,372.8069,33.374,2.087,,,,,
8.0,3.400716543197632,3.0008445945945947e-05,1.4715,18944,,,,,,,,,,,,,
8.0,,,,18944,2.191373825073242,0.4540357619073938,0.36325579354420945,0.43711508244558495,0.4369954934231532,361.9977,34.37,2.149,,,,,
9.0,3.5413730144500732,2.750844594594595e-05,1.3895,21312,,,,,,,,,,,,,
9.0,,,,21312,2.2010374069213867,0.44596682646569963,0.3498276644545868,0.42681826163165737,0.42680540458881605,370.9407,33.542,2.097,,,,,
10.0,5.651372909545898,2.5010557432432437e-05,1.3127,23680,,,,,,,,,,,,,
10.0,,,,23680,2.212589740753174,0.4387568434536232,0.33938005073291166,0.418362202658634,0.41835380299446034,372.1732,33.431,2.09,,,,,
11.0,3.5640745162963867,2.251161317567568e-05,1.2429,26048,,,,,,,,,,,,,
11.0,,,,26048,2.228679656982422,0.4295822417125073,0.3279268706187467,0.4084251047020323,0.40847601340003475,369.5403,33.669,2.105,,,,,
12.0,3.9793033599853516,2.0011613175675676e-05,1.1784,28416,,,,,,,,,,,,,
12.0,,,,28416,2.2491958141326904,0.4306155178480847,0.32802494809434124,0.4089262090899196,0.408941269823643,362.5166,34.321,2.146,,,,,
13.0,3.848879098892212,1.751266891891892e-05,1.1198,30784,,,,,,,,,,,,,
13.0,,,,30784,2.269631862640381,0.4254920697696413,0.3210681607126121,0.40279711238995086,0.4028220996640494,359.4838,34.611,2.164,,,,,
14.0,3.858201026916504,1.5012668918918921e-05,1.0664,33152,,,,,,,,,,,,,
14.0,,,,33152,2.2952027320861816,0.42526160918594924,0.32009325076798323,0.40242090926754137,0.4023538853321672,351.4996,35.397,2.213,,,,,
15.0,4.057417869567871,1.2513724662162163e-05,1.0192,35520,,,,,,,,,,,,,
15.0,,,,35520,2.3148648738861084,0.41907232816751255,0.3123993326510373,0.39551492340186667,0.3954868939718404,350.0668,35.542,2.222,,,,,
16.0,4.0553741455078125,1.0014780405405406e-05,0.9797,37888,,,,,,,,,,,,,
16.0,,,,37888,2.3336379528045654,0.4206161968735911,0.31321177219302443,0.3968838685562376,0.3968609576312597,351.5596,35.391,2.213,,,,,
17.0,4.0044660568237305,7.515836148648649e-06,0.9466,40256,,,,,,,,,,,,,
17.0,,,,40256,2.3506109714508057,0.422063105409767,0.31430374907665815,0.39799947547237036,0.39788531664337556,348.3566,35.716,2.233,,,,,
18.0,4.026157855987549,5.019003378378379e-06,0.9214,42624,,,,,,,,,,,,,
18.0,,,,42624,2.3625223636627197,0.4239953025899317,0.31616780718177656,0.3999996266631981,0.3999003189740945,347.0348,35.852,2.242,,,,,
19.0,4.0394768714904785,2.5190033783783786e-06,0.9066,44992,,,,,,,,,,,,,
19.0,,,,44992,2.3692595958709717,0.42746322011203863,0.31914726526936815,0.40303124605185126,0.40298108888796363,347.9721,35.756,2.236,,,,,
20.0,3.9355762004852295,1.9003378378378382e-08,0.9065,47360,,,,,,,,,,,,,
20.0,,,,47360,2.3754706382751465,0.42970561180292144,0.3216588955114043,0.405600132472932,0.40558083785276366,348.5837,35.693,2.232,,,,,
20.0,,,,47360,,,,,,,,,7069.7739,107.163,6.699,9.91247393470176e+19,0.3933089488261455
