loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5754,1.5245620012283325,4.750137892995036e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.3814220428466797,0.22022602825528195,0.059142504287498086,0.19868740305980342,0.19884284605460362,35.6721,28.426,1.794,,,,,
1.3054,1.467108130455017,4.500275785990072e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.3122276067733765,0.22493284632124322,0.06440288795109655,0.2029871035135365,0.2028346215881603,35.2965,28.728,1.813,,,,,
1.1887,1.833961009979248,4.2502757859900724e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.291922926902771,0.22912534801017806,0.07005107955199741,0.20743655402613617,0.20741832407448313,35.2195,28.791,1.817,,,,,
1.1034,1.7539669275283813,4.000275785990072e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.2858147621154785,0.22770189198126586,0.06995520163806379,0.2061558053410094,0.2062180761939811,35.0501,28.93,1.826,,,,,
1.033,1.737862467765808,3.750413678985108e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.2895643711090088,0.2322374476256392,0.07332466821840486,0.210856476915655,0.21084840022157997,35.9672,28.192,1.779,,,,,
0.9723,1.9697173833847046,3.500551571980143e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.3064920902252197,0.22900418005522594,0.07036556176509391,0.20742343335446078,0.20747035061933625,35.7086,28.397,1.792,,,,,
0.9181,1.8111181259155273,3.250689464975179e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.323049783706665,0.22589508789473212,0.0698810415853281,0.20446520153135117,0.2046113656973132,35.7839,28.337,1.789,,,,,
0.8674,2.0153682231903076,3.0006894649751794e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.3468132019042969,0.22941132356965277,0.07266294200048493,0.2079220604286099,0.2079729208343799,35.2546,28.762,1.815,,,,,
0.8206,2.20949387550354,2.7508273579702154e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.3668875694274902,0.22478766943295547,0.06963436092128832,0.2045363790292353,0.20461914941549547,35.433,28.617,1.806,,,,,
0.7772,2.163814067840576,2.500827357970215e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.3852801322937012,0.22184596292363679,0.06903365338201689,0.2026605875383539,0.20253531472983893,35.0811,28.904,1.824,,,,,
0.7385,2.2690813541412354,2.251103143960287e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.4119594097137451,0.2223051423357133,0.06894453469545779,0.20202392089086035,0.20205797251442195,35.17,28.831,1.82,,,,,
0.7026,2.247537136077881,2.001103143960287e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.431658387184143,0.21976500577106117,0.06738852629895323,0.19945065699294184,0.19951545518396557,35.3414,28.692,1.811,,,,,
0.67,2.291818857192993,1.7512410369553227e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.4506407976150513,0.22071734557633757,0.06912319813350537,0.2014992563505534,0.2014640030330236,35.1445,28.852,1.821,,,,,
0.6408,2.284127950668335,1.5012410369553229e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.4700978994369507,0.2191474852800427,0.06818310081081758,0.19957824718563347,0.19967662458255359,35.3106,28.717,1.812,,,,,
0.6139,2.2896311283111572,1.2513789299503586e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.486438512802124,0.21972158791848115,0.06778047873952225,0.19970095267317683,0.19986261918587755,35.1898,28.815,1.819,,,,,
0.5913,2.845442295074463,1.0016547159404303e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.501448154449463,0.21782770636379786,0.06727941206971014,0.19785825305710253,0.19795238218265243,35.1168,28.875,1.822,,,,,
0.5731,2.3959896564483643,7.517926089354662e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.5119881629943848,0.2174125825616403,0.06760791382531556,0.19766886929546834,0.19761042667182355,35.0541,28.927,1.826,,,,,
0.5573,2.171600341796875,5.017926089354661e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.5204582214355469,0.2169133278132771,0.06726992207802032,0.19675855061446185,0.19681609301681396,35.3362,28.696,1.811,,,,,
0.5473,2.445122241973877,2.517926089354661e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.525923728942871,0.2165593270633197,0.06617705306256941,0.19622688888400358,0.19625645713460466,35.5098,28.555,1.802,,,,,
0.5436,2.6939265727996826,2.0683949255377825e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.5302937030792236,0.22053530994740422,0.06803186772040613,0.19957398565092382,0.19951384257117238,35.0712,28.913,1.825,,,,,
,,,20.0,36260,,,,,,,,,15496.6752,37.427,2.34,5.263342378205184e+20,0.836997836870971
