loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.399,2.4663755893707275,4.750211148648649e-05,1.0,2368,,,,,,,,,,,,,
,,,1.0,2368,2.1831979751586914,0.15485286227970238,0.02426195281420323,0.12788300851310389,0.1278868096400869,504.4787,24.663,1.542,,,,,
2.0052,2.10493803024292,4.5002111486486486e-05,2.0,4736,,,,,,,,,,,,,
,,,2.0,4736,2.1013755798339844,0.15716076619315647,0.0263430732747764,0.12969038786081152,0.1297105224911092,506.4396,24.568,1.536,,,,,
1.8033,2.1160013675689697,4.2503167229729734e-05,3.0,7104,,,,,,,,,,,,,
,,,3.0,7104,2.0709404945373535,0.16002681125179147,0.02802975560871407,0.13231032229130213,0.132366887525638,504.1122,24.681,1.543,,,,,
1.6552,2.276371479034424,4.0004222972972976e-05,4.0,9472,,,,,,,,,,,,,
,,,4.0,9472,2.0730926990509033,0.162290080190162,0.028675485133800034,0.13373911790464274,0.13373439964911538,503.6748,24.702,1.545,,,,,
1.5338,2.3570690155029297,3.7506334459459466e-05,5.0,11840,,,,,,,,,,,,,
,,,5.0,11840,2.084991455078125,0.1691204206522622,0.03056427411885752,0.13740603795583722,0.1374225381205409,507.5855,24.512,1.533,,,,,
1.4275,2.64937686920166,3.500633445945946e-05,6.0,14208,,,,,,,,,,,,,
,,,6.0,14208,2.102996587753296,0.17418438183577517,0.03236291333582295,0.14079255645839917,0.1408002918855168,506.9915,24.541,1.535,,,,,
1.3333,2.468548536300659,3.25073902027027e-05,7.0,16576,,,,,,,,,,,,,
,,,7.0,16576,2.1354994773864746,0.1764693359996825,0.03222535199538834,0.14158471295539748,0.14160149591783372,503.5694,24.708,1.545,,,,,
1.2479,2.465909242630005,3.0007390202702705e-05,8.0,18944,,,,,,,,,,,,,
,,,8.0,18944,2.1620278358459473,0.17648420956005834,0.03288590982692313,0.14091749996779976,0.14091256853121126,505.3232,24.622,1.54,,,,,
1.1697,4.259377479553223,2.7509501689189192e-05,9.0,21312,,,,,,,,,,,,,
,,,9.0,21312,2.2036185264587402,0.17743348412392396,0.03257335844273858,0.141143296603245,0.1411036235244933,505.3024,24.623,1.54,,,,,
1.0986,3.139957904815674,2.5011613175675675e-05,10.0,23680,,,,,,,,,,,,,
,,,10.0,23680,2.2293314933776855,0.17931631849427948,0.03260775497360874,0.14174131376601978,0.1417531353134063,506.2226,24.578,1.537,,,,,
1.0338,2.765658378601074,2.251161317567568e-05,11.0,26048,,,,,,,,,,,,,
,,,11.0,26048,2.2655816078186035,0.17996250230957062,0.033283650185728576,0.1425383060260459,0.14257591993552302,504.4443,24.665,1.542,,,,,
0.9747,3.000227451324463,2.001266891891892e-05,12.0,28416,,,,,,,,,,,,,
,,,12.0,28416,2.3038523197174072,0.17856451685770727,0.03240793507044819,0.1415663316392611,0.14152560216130036,505.7202,24.603,1.538,,,,,
0.9228,2.8630168437957764,1.751266891891892e-05,13.0,30784,,,,,,,,,,,,,
,,,13.0,30784,2.32676362991333,0.1818054386202615,0.033533641585552006,0.14326280115858372,0.14325437038420558,504.6941,24.653,1.542,,,,,
0.8756,2.874555826187134,1.5013724662162163e-05,14.0,33152,,,,,,,,,,,,,
,,,14.0,33152,2.352708339691162,0.18111675069147776,0.03362432572678148,0.14254643251989346,0.14252707039166868,505.6944,24.604,1.538,,,,,
0.8354,3.0339908599853516,1.2513724662162163e-05,15.0,35520,,,,,,,,,,,,,
,,,15.0,35520,2.385496139526367,0.18224198769002234,0.033918812994780445,0.14328708443135274,0.14327844910416496,508.8829,24.45,1.529,,,,,
0.8011,6.21455717086792,1.001583614864865e-05,16.0,37888,,,,,,,,,,,,,
,,,16.0,37888,2.405862331390381,0.18265960710578993,0.03345374614893804,0.14319861658181957,0.14319953972097005,508.799,24.454,1.529,,,,,
0.7732,6.791536808013916,7.5179476351351345e-06,17.0,40256,,,,,,,,,,,,,
,,,17.0,40256,2.420448064804077,0.18332990856440842,0.03361782499109471,0.14365035572161977,0.1436019534259949,505.7182,24.603,1.538,,,,,
0.7528,3.290849208831787,5.017947635135136e-06,18.0,42624,,,,,,,,,,,,,
,,,18.0,42624,2.4343273639678955,0.18372781455236561,0.03417145016588734,0.1438299517214538,0.1438231778245252,505.595,24.609,1.539,,,,,
0.7423,3.207620143890381,2.5190033783783786e-06,19.0,44992,,,,,,,,,,,,,
,,,19.0,44992,2.4433910846710205,0.1853550140998126,0.034097431192286844,0.14466000847314037,0.1446357650655779,505.6191,24.607,1.539,,,,,
0.7491,3.4104318618774414,2.0059121621621625e-08,20.0,47360,,,,,,,,,,,,,
,,,20.0,47360,2.4532785415649414,0.1857802149008737,0.03456699452893649,0.14430700829991155,0.14431309121512573,505.7137,24.603,1.538,,,,,
,,,20.0,47360,,,,,,,,,21268.1111,35.622,2.227,1.375039121577866e+20,1.2067118258089633
