epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,2.455075979232788,4.750551571980144e-05,1.6675,1813,,,,,,,,,,,,,
1.0,,,,1813,1.425774097442627,0.04105349894860142,0.0,0.04105166813416308,0.04105269281057136,34.1518,29.691,1.874,,,,,
2.0,2.2379541397094727,4.500551571980144e-05,1.2747,3626,,,,,,,,,,,,,
2.0,,,,3626,1.3005475997924805,0.5007585473670502,0.3576506226920779,0.4881178363726597,0.4881710380204619,33.8101,29.991,1.893,,,,,
3.0,2.172037124633789,4.250689464975179e-05,1.1319,5439,,,,,,,,,,,,,
3.0,,,,5439,1.2892718315124512,0.5103880288466,0.37137193054890283,0.4984968047161521,0.4984759896381029,34.3966,29.48,1.861,,,,,
4.0,2.3443398475646973,4.00068946497518e-05,1.0208,7252,,,,,,,,,,,,,
4.0,,,,7252,1.3038651943206787,0.5219872709914508,0.3863166887324315,0.5107462470096729,0.510718202882376,32.9391,30.784,1.943,,,,,
5.0,2.547710657119751,3.750689464975179e-05,0.9272,9065,,,,,,,,,,,,,
5.0,,,,9065,1.3358886241912842,0.5216932609578153,0.38779526110056034,0.5106645595233493,0.5105664959860297,33.649,30.135,1.902,,,,,
6.0,2.584948778152466,3.5008273579702154e-05,0.841,10878,,,,,,,,,,,,,
6.0,,,,10878,1.3823091983795166,0.5109701157014882,0.3765927284344199,0.5003417189978989,0.5001385100073393,33.4273,30.335,1.915,,,,,
7.0,2.9323647022247314,3.250965250965251e-05,0.7599,12691,,,,,,,,,,,,,
7.0,,,,12691,1.4328539371490479,0.509363978769439,0.37322997341547715,0.498252468376669,0.49819300951023227,33.3289,30.424,1.92,,,,,
8.0,2.696871519088745,3.0011031439602872e-05,0.6841,14504,,,,,,,,,,,,,
8.0,,,,14504,1.4854058027267456,0.5037337933725551,0.36552104433479976,0.49182200172725676,0.491779218763286,33.3359,30.418,1.92,,,,,
9.0,2.8171305656433105,2.751103143960287e-05,0.6156,16317,,,,,,,,,,,,,
9.0,,,,16317,1.5349578857421875,0.4899322671718214,0.34996629736261564,0.4776224217359626,0.47759516867519264,33.4312,30.331,1.914,,,,,
10.0,2.3741488456726074,2.5011031439602866e-05,0.5537,18130,,,,,,,,,,,,,
10.0,,,,18130,1.5845749378204346,0.4915835391965968,0.3521282855063097,0.47933250792651483,0.4794607610889542,33.4488,30.315,1.913,,,,,
11.0,2.6888785362243652,2.2512410369553226e-05,0.4974,19943,,,,,,,,,,,,,
11.0,,,,19943,1.6394494771957397,0.4760960000408253,0.334509059617647,0.4634343068433934,0.4636318487396001,33.8915,29.919,1.888,,,,,
12.0,2.6356770992279053,2.0012410369553227e-05,0.4477,21756,,,,,,,,,,,,,
12.0,,,,21756,1.6873971223831177,0.48021065692166853,0.33952808534312906,0.4679543834552086,0.4681772784812325,33.8983,29.913,1.888,,,,,
13.0,2.346149444580078,1.7513789299503584e-05,0.4048,23569,,,,,,,,,,,,,
13.0,,,,23569,1.7320222854614258,0.4794794390223121,0.33912066036783445,0.4668944810381995,0.467008215884407,33.839,29.965,1.891,,,,,
14.0,2.4675939083099365,1.5015168229453943e-05,0.367,25382,,,,,,,,,,,,,
14.0,,,,25382,1.7729604244232178,0.4892643433980569,0.3511913087571509,0.4773078248705457,0.47743684025228644,33.8672,29.94,1.89,,,,,
15.0,2.593513011932373,1.2515168229453943e-05,0.3344,27195,,,,,,,,,,,,,
15.0,,,,27195,1.8089237213134766,0.492065956232864,0.3566743738400553,0.48087502496354717,0.48079700655399005,33.901,29.911,1.888,,,,,
16.0,2.379403829574585,1.0016547159404303e-05,0.3074,29008,,,,,,,,,,,,,
16.0,,,,29008,1.8491963148117065,0.4936025599294961,0.35641318175837156,0.4818403028079373,0.4818396983725159,34.4325,29.449,1.859,,,,,
17.0,2.2236108779907227,7.517926089354662e-06,0.2856,30821,,,,,,,,,,,,,
17.0,,,,30821,1.8769283294677734,0.49013052462403905,0.35271042769393096,0.478592387348849,0.47859966673040033,33.7798,30.018,1.895,,,,,
18.0,1.9948052167892456,5.019305019305019e-06,0.2691,32634,,,,,,,,,,,,,
18.0,,,,32634,1.8962044715881348,0.48113048848774553,0.3417759907804834,0.4693482641201985,0.46921897376254096,33.4333,30.329,1.914,,,,,
19.0,2.042518138885498,2.5193050193050194e-06,0.2598,34447,,,,,,,,,,,,,
19.0,,,,34447,1.9063563346862793,0.4806349491115956,0.3405694953001631,0.4683890421849223,0.4684622949133341,32.8492,30.868,1.948,,,,,
20.0,2.057633399963379,2.0683949255377825e-08,0.2614,36260,,,,,,,,,,,,,
20.0,,,,36260,1.9097039699554443,0.46766576769149615,0.32293347033980435,0.4541611528344482,0.45428658197613014,33.4335,30.329,1.914,,,,,
20.0,,,,36260,,,,,,,,,2563.9116,226.217,14.142,5.2497421439016934e+20,0.05379362279909852
