loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.8605,2.0808756351470947,4.750137892995036e-05,1.0,1813,,,,,,,,,,,,,
,,,1.0,1813,1.5128302574157715,0.5073635448734508,0.36646858660171766,0.495446507643878,0.4955092560196083,29.476,34.401,2.171,,,,,
1.3968,1.8338038921356201,4.5001378929950363e-05,2.0,3626,,,,,,,,,,,,,
,,,2.0,3626,1.391435146331787,0.5084231364907854,0.36752514964188304,0.4961331703709099,0.49633180763584184,29.5835,34.276,2.163,,,,,
1.2439,1.9929341077804565,4.250137892995036e-05,3.0,5439,,,,,,,,,,,,,
,,,3.0,5439,1.3501884937286377,0.5102788682577674,0.37054728984808527,0.4980908106664246,0.4982124599646751,28.38,35.729,2.255,,,,,
1.1359,1.706055760383606,4.000275785990072e-05,4.0,7252,,,,,,,,,,,,,
,,,4.0,7252,1.3361871242523193,0.5206098043989508,0.38278746463855534,0.5084744282039648,0.5085643583980819,29.1547,34.78,2.195,,,,,
1.0482,2.0777111053466797,3.750551571980144e-05,5.0,9065,,,,,,,,,,,,,
,,,5.0,9065,1.3376085758209229,0.5174973607011406,0.37934956631684114,0.5057650697010303,0.5058363982695175,28.2849,35.849,2.263,,,,,
0.9715,1.8205417394638062,3.500551571980143e-05,6.0,10878,,,,,,,,,,,,,
,,,6.0,10878,1.349363088607788,0.5092897617508789,0.3710470212483068,0.49794314042034127,0.49784018973640976,29.6609,34.186,2.158,,,,,
0.9002,1.817984700202942,3.250689464975179e-05,7.0,12691,,,,,,,,,,,,,
,,,7.0,12691,1.3758351802825928,0.506481457182565,0.3679225333776587,0.49534623783190723,0.49532607470357404,29.6619,34.185,2.158,,,,,
0.8341,2.016540288925171,3.0009652509652515e-05,8.0,14504,,,,,,,,,,,,,
,,,8.0,14504,1.4024207592010498,0.5081968772884282,0.3722832924296843,0.4968629585379688,0.49683798193832385,29.3362,34.565,2.182,,,,,
0.7734,2.764085054397583,2.750965250965251e-05,9.0,16317,,,,,,,,,,,,,
,,,9.0,16317,1.426592230796814,0.4947570990067685,0.35450748640975593,0.4826549343779494,0.48241167521328315,29.4424,34.44,2.174,,,,,
0.7169,1.9483871459960938,2.500965250965251e-05,10.0,18130,,,,,,,,,,,,,
,,,10.0,18130,1.4575083255767822,0.4877983850060311,0.34526793703107844,0.4753436856717158,0.4754210353150467,29.2969,34.611,2.185,,,,,
0.6645,18.55235481262207,2.251103143960287e-05,11.0,19943,,,,,,,,,,,,,
,,,11.0,19943,1.4948315620422363,0.48382292435184626,0.3394239331829013,0.47068920214667515,0.4706827311973887,90.8958,11.156,0.704,,,,,
0.6166,2.1823885440826416,2.0012410369553227e-05,12.0,21756,,,,,,,,,,,,,
,,,12.0,21756,1.5328457355499268,0.4800167810763716,0.33592322480454856,0.4665104799580395,0.4665851374935035,75.9761,13.346,0.842,,,,,
0.5723,2.574582815170288,1.7513789299503584e-05,13.0,23569,,,,,,,,,,,,,
,,,13.0,23569,1.5729326009750366,0.4923785873726796,0.3514614999237611,0.4802504538308542,0.4800692230250251,106.761,9.498,0.599,,,,,
0.5325,2.3054611682891846,1.5016547159404304e-05,14.0,25382,,,,,,,,,,,,,
,,,14.0,25382,1.6057685613632202,0.4873650134018225,0.3475698708029491,0.4756734468410829,0.4756717909148973,30.2519,33.519,2.116,,,,,
0.4973,2.2289199829101562,1.2516547159404302e-05,15.0,27195,,,,,,,,,,,,,
,,,15.0,27195,1.6377630233764648,0.48500336736528876,0.34519563606479325,0.4731141735268487,0.4731046142483795,29.4539,34.427,2.173,,,,,
0.4668,2.035022258758545,1.001930501930502e-05,16.0,29008,,,,,,,,,,,,,
,,,16.0,29008,1.6671805381774902,0.4914159057577476,0.35402674874910733,0.4801679740083792,0.4801116428963709,28.8358,35.165,2.219,,,,,
0.4414,2.051318645477295,7.51930501930502e-06,17.0,30821,,,,,,,,,,,,,
,,,17.0,30821,1.695835828781128,0.4864117707676095,0.34848870069325655,0.47505380627903837,0.4750065563548101,29.0842,34.864,2.201,,,,,
0.4214,2.063690423965454,5.020683949255378e-06,18.0,32634,,,,,,,,,,,,,
,,,18.0,32634,1.7132601737976074,0.47485033160944595,0.33266484093723087,0.46216769327940976,0.4621278770858076,29.7187,34.12,2.154,,,,,
0.4094,2.000119686126709,2.520683949255378e-06,19.0,34447,,,,,,,,,,,,,
,,,19.0,34447,1.7253358364105225,0.4758286538153217,0.33147779765790386,0.4630440968317863,0.4631307453180973,29.5966,34.261,2.162,,,,,
0.4109,2.4598045349121094,2.206287920573635e-08,20.0,36260,,,,,,,,,,,,,
,,,20.0,36260,1.7257657051086426,0.4645314779843709,0.3187693888206242,0.45116092613235903,0.4511378164560521,29.9063,33.906,2.14,,,,,
,,,20.0,36260,,,,,,,,,12971.7852,44.712,2.795,3.764383900913663e+20,0.7957216796201695
