loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.8923,3.1292917728424072,4.7501055743243244e-05,1.0,2368,,,,,,,,,,,,,
,,,1.0,2368,2.4656894207000732,0.48434398841849746,0.4124746135029642,0.4736722674942404,0.4736952857289297,331.8773,37.49,2.344,,,,,
2.2412,2.9523603916168213,4.500105574324325e-05,2.0,4736,,,,,,,,,,,,,
,,,2.0,4736,2.297999620437622,0.48250986897422343,0.40932801046979955,0.47174540331829934,0.4716185122541666,331.1234,37.575,2.35,,,,,
1.9702,2.932164430618286,4.2503167229729734e-05,3.0,7104,,,,,,,,,,,,,
,,,3.0,7104,2.2256500720977783,0.480566116095577,0.40210161711146825,0.4682547520864222,0.46815299922653186,334.1097,37.239,2.329,,,,,
1.7738,2.9734885692596436,4.0003167229729735e-05,4.0,9472,,,,,,,,,,,,,
,,,4.0,9472,2.194079637527466,0.47778400363975015,0.3932702698860284,0.4631235155703268,0.46307768063013893,337.2447,36.893,2.307,,,,,
1.6105,3.1328749656677246,3.750527871621622e-05,5.0,11840,,,,,,,,,,,,,
,,,5.0,11840,2.1979751586914062,0.469312869474828,0.37876345964422886,0.4527096510551552,0.45251660221855483,334.1548,37.234,2.328,,,,,
1.4654,3.1323177814483643,3.500739020270271e-05,6.0,14208,,,,,,,,,,,,,
,,,6.0,14208,2.217979907989502,0.46106658620468205,0.3664730801127585,0.44285103899446043,0.44271131717582946,335.8617,37.045,2.316,,,,,
1.3329,3.4080846309661865,3.25073902027027e-05,7.0,16576,,,,,,,,,,,,,
,,,7.0,16576,2.2569830417633057,0.45388085348989926,0.35599536874231286,0.434216061298628,0.4340492347409942,338.4842,36.758,2.298,,,,,
1.2115,3.461580991744995,3.0008445945945947e-05,8.0,18944,,,,,,,,,,,,,
,,,8.0,18944,2.3109073638916016,0.4408563625388835,0.3386159946761144,0.4193806820615422,0.4192249408103355,339.9044,36.604,2.289,,,,,
1.0988,3.7070765495300293,2.7509501689189192e-05,9.0,21312,,,,,,,,,,,,,
,,,9.0,21312,2.3693997859954834,0.43136665959418663,0.32557847240308685,0.4087739064972086,0.4086828596595188,339.657,36.631,2.291,,,,,
0.9971,3.738964080810547,2.5010557432432437e-05,10.0,23680,,,,,,,,,,,,,
,,,10.0,23680,2.4354960918426514,0.4300751745159185,0.3215469293039657,0.4063156983751696,0.40627413947389013,337.9235,36.819,2.302,,,,,
0.9037,3.7545623779296875,2.251161317567568e-05,11.0,26048,,,,,,,,,,,,,
,,,11.0,26048,2.5020124912261963,0.4242347339168699,0.3151975571208039,0.3999412260580718,0.39976915496232457,341.2369,36.461,2.28,,,,,
0.8205,3.699939012527466,2.001266891891892e-05,12.0,28416,,,,,,,,,,,,,
,,,12.0,28416,2.573549747467041,0.42666740098141637,0.317453130962925,0.40206457011100794,0.4019249758719575,335.2514,37.112,2.321,,,,,
0.7476,4.0728068351745605,1.7514780405405407e-05,13.0,30784,,,,,,,,,,,,,
,,,13.0,30784,2.6391820907592773,0.42686984059375055,0.3181412347389883,0.402502807342197,0.4024029006008437,332.074,37.468,2.343,,,,,
0.6829,3.792207717895508,1.5014780405405408e-05,14.0,33152,,,,,,,,,,,,,
,,,14.0,33152,2.7034685611724854,0.42575648380268416,0.3172685466350927,0.40121582250665316,0.40116550176645105,335.469,37.088,2.319,,,,,
0.6283,3.847883939743042,1.2514780405405404e-05,15.0,35520,,,,,,,,,,,,,
,,,15.0,35520,2.760531425476074,0.41550465340320875,0.3054336757500898,0.39057380462645663,0.39055755559858774,339.6011,36.637,2.291,,,,,
0.5828,3.4998819828033447,1.0016891891891893e-05,16.0,37888,,,,,,,,,,,,,
,,,16.0,37888,2.8109660148620605,0.4120653837888669,0.30147819473166726,0.38679536635091544,0.3867920417820635,340.633,36.526,2.284,,,,,
0.5468,3.2168378829956055,7.516891891891892e-06,17.0,40256,,,,,,,,,,,,,
,,,17.0,40256,2.8491132259368896,0.4137873306562485,0.30232807552542673,0.38826378874691136,0.3880769239297344,341.2444,36.461,2.28,,,,,
0.5221,3.68355655670166,5.019003378378379e-06,18.0,42624,,,,,,,,,,,,,
,,,18.0,42624,2.875209331512451,0.41390796392020424,0.30202303709670597,0.38814685499036694,0.38804210265361017,339.6418,36.633,2.291,,,,,
0.5105,3.23026967048645,2.520059121621622e-06,19.0,44992,,,,,,,,,,,,,
,,,19.0,44992,2.8846657276153564,0.41940121763849003,0.30771506114360986,0.3934446923931644,0.39345898583840744,334.4686,37.199,2.326,,,,,
0.5266,5.739694595336914,2.0059121621621625e-08,20.0,47360,,,,,,,,,,,,,
,,,20.0,47360,2.887482166290283,0.4237896984021272,0.3119290108900947,0.39769898626196654,0.39757041556114225,342.4285,36.335,2.272,,,,,
,,,20.0,47360,,,,,,,,,16286.9262,46.517,2.908,9.834388037966237e+19,1.153273159748799
