epoch,grad_norm,learning_rate,loss,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0,1.2213540077209473,4.750137892995036e-05,1.5958,1813,,,,,,,,,,,,,
1.0,,,,1813,1.408162236213684,0.20942382681317762,0.052268240271876196,0.18782963078414427,0.18800516161074948,38.3687,26.428,1.668,,,,,
2.0,1.2286709547042847,4.5001378929950363e-05,1.3217,3626,,,,,,,,,,,,,
2.0,,,,3626,1.3384387493133545,0.21611859490901453,0.05933554030926372,0.19454598150773694,0.19465279894393217,36.8608,27.509,1.736,,,,,
3.0,1.2854561805725098,4.2502757859900724e-05,1.2012,5439,,,,,,,,,,,,,
3.0,,,,5439,1.317445993423462,0.21922601531548574,0.06388839744397203,0.19902860518789214,0.19908710303415977,36.8029,27.552,1.739,,,,,
4.0,1.440504550933838,4.000275785990072e-05,1.1116,7252,,,,,,,,,,,,,
4.0,,,,7252,1.3210391998291016,0.22302713664732748,0.06669579000224632,0.20209708338731197,0.20210541844904245,37.2292,27.237,1.719,,,,,
5.0,1.335534930229187,3.750413678985108e-05,1.0375,9065,,,,,,,,,,,,,
5.0,,,,9065,1.3374922275543213,0.2178891940879939,0.06475011725271615,0.19733377758430837,0.19735117305803807,37.4187,27.099,1.71,,,,,
6.0,1.3352773189544678,3.500413678985108e-05,0.9705,10878,,,,,,,,,,,,,
6.0,,,,10878,1.3598605394363403,0.21804914623199947,0.06340113533316061,0.19674840312456007,0.19668638862682059,36.8023,27.553,1.739,,,,,
7.0,1.6700178384780884,3.250689464975179e-05,0.909,12691,,,,,,,,,,,,,
7.0,,,,12691,1.3884060382843018,0.2121668728269265,0.06181748922004299,0.1937377502022632,0.19378478402890364,36.9238,27.462,1.733,,,,,
8.0,1.6370166540145874,3.000827357970215e-05,0.8528,14504,,,,,,,,,,,,,
8.0,,,,14504,1.4201492071151733,0.2089194174855056,0.05870880935825805,0.1894358587499899,0.18953124870033464,36.7219,27.613,1.743,,,,,
9.0,1.7503292560577393,2.7508273579702154e-05,0.8012,16317,,,,,,,,,,,,,
9.0,,,,16317,1.4584541320800781,0.20862488737463464,0.058721638620513605,0.18915822958815887,0.1892033645006653,36.7371,27.601,1.742,,,,,
10.0,1.806192398071289,2.5011031439602866e-05,0.7527,18130,,,,,,,,,,,,,
10.0,,,,18130,1.4894027709960938,0.21057601822905964,0.05894273566173104,0.1904752303380216,0.19043475755039924,36.9317,27.456,1.733,,,,,
11.0,1.9211379289627075,2.251103143960287e-05,0.7076,19943,,,,,,,,,,,,,
11.0,,,,19943,1.5275592803955078,0.20799180041853682,0.05790828581928254,0.18815994804867522,0.1881408045340685,36.5744,27.724,1.75,,,,,
12.0,1.8225977420806885,2.0012410369553227e-05,0.6666,21756,,,,,,,,,,,,,
12.0,,,,21756,1.5683653354644775,0.2056891038814937,0.05657365210243912,0.18679294632342341,0.18684466858346974,40.3623,25.122,1.586,,,,,
13.0,1.889336109161377,1.7512410369553227e-05,0.6284,23569,,,,,,,,,,,,,
13.0,,,,23569,1.6016638278961182,0.2058367839517831,0.056487928700969844,0.18632157701085272,0.18640515146983988,37.0288,27.384,1.728,,,,,
14.0,2.081669330596924,1.5015168229453943e-05,0.5941,25382,,,,,,,,,,,,,
14.0,,,,25382,1.637848138809204,0.20486211120449788,0.05695097980365856,0.1850904569335145,0.18504336419641998,36.8748,27.498,1.736,,,,,
15.0,1.832077980041504,1.2517926089354661e-05,0.5633,27195,,,,,,,,,,,,,
15.0,,,,27195,1.667386770248413,0.2011554125135097,0.05368336462531062,0.18136721037723613,0.18144597800325873,37.0095,27.398,1.729,,,,,
16.0,1.7331416606903076,1.0017926089354662e-05,0.5366,29008,,,,,,,,,,,,,
16.0,,,,29008,1.6979458332061768,0.20339381791721167,0.05506310958992139,0.1837276591021338,0.18387034468791297,37.359,27.142,1.713,,,,,
17.0,1.9158332347869873,7.520683949255378e-06,0.5144,30821,,,,,,,,,,,,,
17.0,,,,30821,1.7211532592773438,0.19893591766163743,0.05126966906881331,0.17998430782353375,0.17993843004887075,37.1567,27.29,1.722,,,,,
18.0,1.8266730308532715,5.022062879205736e-06,0.4967,32634,,,,,,,,,,,,,
18.0,,,,32634,1.7380502223968506,0.19841227212667584,0.052893145969211054,0.17930516167655652,0.17934199547875074,36.6232,27.687,1.748,,,,,
19.0,2.0891568660736084,2.5220628792057363e-06,0.4865,34447,,,,,,,,,,,,,
19.0,,,,34447,1.7484245300292969,0.1983755422008559,0.05367582077892777,0.17972927576476466,0.17972228954931163,36.4801,27.796,1.754,,,,,
20.0,1.9699712991714478,2.3441809156094872e-08,0.4886,36260,,,,,,,,,,,,,
20.0,,,,36260,1.752488374710083,0.2020399854865712,0.05459502085791855,0.18065880418721625,0.18068106100289294,36.6414,27.674,1.747,,,,,
20.0,,,,36260,,,,,,,,,2616.7027,221.653,13.857,5.233452842483712e+20,0.0993099038007834
