loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.4033,2.2795417308807373,4.750211148648649e-05,1.0,2368,,,,,,,,,,,,,
,,,1.0,2368,2.183201789855957,0.15045433890191434,0.02261275024014451,0.12473443879233853,0.12477922686878323,481.1544,25.859,1.617,,,,,
2.0059,2.113194227218628,4.5002111486486486e-05,2.0,4736,,,,,,,,,,,,,
,,,2.0,4736,2.097585678100586,0.15645657884194486,0.02514893376530228,0.12875030980816565,0.12874354973155644,479.2409,25.962,1.623,,,,,
1.8017,2.1064295768737793,4.250211148648649e-05,3.0,7104,,,,,,,,,,,,,
,,,3.0,7104,2.076939105987549,0.1574788732026855,0.027479413848958884,0.1302026433608439,0.13023028005489312,478.6655,25.993,1.625,,,,,
1.647,2.262157678604126,4.000527871621622e-05,4.0,9472,,,,,,,,,,,,,
,,,4.0,9472,2.077664613723755,0.16396666338932597,0.028708405392540628,0.13460858842418355,0.1346495402707515,481.5863,25.835,1.615,,,,,
1.5158,2.209155321121216,3.7506334459459466e-05,5.0,11840,,,,,,,,,,,,,
,,,5.0,11840,2.105384349822998,0.16700635364337318,0.029406637797907448,0.13650010697689902,0.1365175348163336,481.1387,25.859,1.617,,,,,
1.3976,3.137807846069336,3.500633445945946e-05,6.0,14208,,,,,,,,,,,,,
,,,6.0,14208,2.1428494453430176,0.16912663635729847,0.02959834301812595,0.13741737755979755,0.1374288639179521,481.9516,25.816,1.614,,,,,
1.2899,2.3306734561920166,3.250844594594595e-05,7.0,16576,,,,,,,,,,,,,
,,,7.0,16576,2.2011609077453613,0.17014570308556493,0.028994496350045182,0.1365760661206537,0.13661006313126528,483.9107,25.711,1.608,,,,,
1.1903,2.400167942047119,3.000950168918919e-05,8.0,18944,,,,,,,,,,,,,
,,,8.0,18944,2.2463512420654297,0.17213928562789962,0.02893096854916762,0.13695414971298592,0.13697336660127715,480.8748,25.874,1.618,,,,,
1.0998,2.7403533458709717,2.7509501689189192e-05,9.0,21312,,,,,,,,,,,,,
,,,9.0,21312,2.304870367050171,0.1722910049439604,0.02961334585688572,0.13693380585205112,0.13694523034328182,480.4948,25.894,1.619,,,,,
1.0165,2.6847589015960693,2.5010557432432437e-05,10.0,23680,,,,,,,,,,,,,
,,,10.0,23680,2.3598318099975586,0.17347419322073238,0.029428489979305306,0.13689341813208133,0.1369537629100241,481.7301,25.828,1.615,,,,,
0.9404,2.6747138500213623,2.251161317567568e-05,11.0,26048,,,,,,,,,,,,,
,,,11.0,26048,2.4252748489379883,0.17403304870571012,0.029165060552554564,0.13629113871436288,0.1362898905954999,483.7581,25.719,1.608,,,,,
0.8701,2.850905179977417,2.0013724662162166e-05,12.0,28416,,,,,,,,,,,,,
,,,12.0,28416,2.473407506942749,0.17496707893090144,0.029340717078743243,0.13716209895218376,0.13717180593860395,482.116,25.807,1.614,,,,,
0.8074,2.6008248329162598,1.7513724662162162e-05,13.0,30784,,,,,,,,,,,,,
,,,13.0,30784,2.5245044231414795,0.17455849337787954,0.02919631850664422,0.13581032080231514,0.13578818103481377,482.0185,25.812,1.614,,,,,
0.7527,2.740680456161499,1.5014780405405408e-05,14.0,33152,,,,,,,,,,,,,
,,,14.0,33152,2.5836079120635986,0.17666724539872516,0.028905637405139947,0.13707888841562685,0.13707699501458703,482.1015,25.808,1.614,,,,,
0.7049,2.591710090637207,1.2514780405405404e-05,15.0,35520,,,,,,,,,,,,,
,,,15.0,35520,2.6251258850097656,0.17700548901256052,0.02857924062790248,0.13659240904378495,0.13661906529375017,482.8946,25.765,1.611,,,,,
0.6646,2.7660787105560303,1.001583614864865e-05,16.0,37888,,,,,,,,,,,,,
,,,16.0,37888,2.6708121299743652,0.17739672392870492,0.028950986336925125,0.13674518839573632,0.13675301441787546,484.0159,25.706,1.607,,,,,
0.6346,2.695080518722534,7.516891891891892e-06,17.0,40256,,,,,,,,,,,,,
,,,17.0,40256,2.701218843460083,0.1784649819469844,0.029396380051575764,0.13746273415634747,0.13748162307479733,484.3337,25.689,1.606,,,,,
0.6125,6.64227819442749,5.019003378378379e-06,18.0,42624,,,,,,,,,,,,,
,,,18.0,42624,2.7218332290649414,0.17931643618783083,0.02942275730041228,0.1377809594468141,0.1377809303624328,483.8431,25.715,1.608,,,,,
0.6042,3.2042572498321533,2.520059121621622e-06,19.0,44992,,,,,,,,,,,,,
,,,19.0,44992,2.7335662841796875,0.1805984894174876,0.02990191023316279,0.1386378869396684,0.1386616472308994,483.1103,25.754,1.61,,,,,
0.6213,3.368898868560791,2.1114864864864867e-08,20.0,47360,,,,,,,,,,,,,
,,,20.0,47360,2.741468667984009,0.18165657398496798,0.02999034541712742,0.13904286889468212,0.13905353795100694,481.3918,25.846,1.616,,,,,
,,,20.0,47360,,,,,,,,,19036.7478,39.798,2.488,1.3672305319043138e+20,1.1290266681361842
